source,email_domain_end,email_domain_name,user_identifier,stand_institute
3-users_lifewatch_by_group_kpi_2023-11-07,com,tractebelengie,40a2ea5b-745f-49ba-a026-22fb6bbdc65f,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,meteo,8d16c1f8-4f83-42e1-856f-d6ba0c81f678,
3-users_lifewatch_by_group_kpi_2023-11-07,de,lfamvnet,6f64fb16-1d35-48a0-9c81-ee1722441248,
3-users_lifewatch_by_group_kpi_2023-11-07,es,ieocsic,8f81d76f-ea24-43e0-80b8-8851700a6e1f,
3-users_lifewatch_by_group_kpi_2023-11-07,scot,gov,80f218c3-ead7-4ce6-afb5-882c0d9d3311,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,lancasterac,174095d4-f27f-49e0-a600-64651a2c08db,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,vt,ddc29060-4ff1-4319-9faa-dbdf7d408f96,
3-users_lifewatch_by_group_kpi_2023-11-07,es,usal,9d5afe51-a1b8-4420-9091-f59a9a52754c,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,cmailcarleton,12f04e7d-94ae-46bd-a322-911b51ea0dc5,
3-users_lifewatch_by_group_kpi_2023-11-07,be,botrange,01568e2c-c3c2-485c-8403-0905eafaa1c5,
3-users_lifewatch_by_group_kpi_2023-11-07,de,web,06d40dc8-b244-47bb-b060-b66d08e6e6f4,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,univ-corse,8cd02dc5-f87b-4d32-b446-e63d42409e80,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,hullac,c6e04b91-38fb-421a-ad10-781e9f98aa10,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,normale,c3ec8c96-b14c-4354-bb80-242f43230087,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,fredonia,92e94e3b-f0b8-40dd-8f70-ae98a9215b2f,
3-users_lifewatch_by_group_kpi_2023-11-07,je,gov,42ce3948-3202-4388-ac44-4321366e21bd,
3-users_lifewatch_by_group_kpi_2023-11-07,com,qq,3cfa5c2b-c4c4-4013-a37d-3eac93b12670,
3-users_lifewatch_by_group_kpi_2023-11-07,fi_DISABLED,kalajavesitutkimus,5bb78c79-a9ee-4a8a-adff-54da48edbc2b,
3-users_lifewatch_by_group_kpi_2023-11-07,be,pandora,f184a5c1-91c0-4144-9c18-694c7e2d6549,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ucam,223a2228-b0c3-4f2b-be46-1e4feb9bd10c,
3-users_lifewatch_by_group_kpi_2023-11-07,cz,seznam,011c4408-ecec-4080-a1b9-bf096246897c,
3-users_lifewatch_by_group_kpi_2023-11-07,at,studsbgac,f95e7896-ef83-4701-80c9-f14544b0f099,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,bcmoon,fa304d09-a9da-46a0-81e3-a0296ed021e7,
3-users_lifewatch_by_group_kpi_2023-11-07,com,qq,a45f0e9f-2e78-40cd-97f1-49f8fa6b9eb7,
