raw_country,raw_institute,raw_source,identifier
au,aadgov,3-users_lifewatch_by_group_kpi_2023-11-07,289d5303-a81b-40eb-9d1d-b60237127545
au,qmqldgov,3-users_lifewatch_by_group_kpi_2023-11-07,cd15a6fe-034c-4747-9bda-53a1dd751b80
es,us,3-users_lifewatch_by_group_kpi_2023-11-07,49cf693f-87d8-4f96-8935-43051fdd4df8
de,awi-bremerhaven,3-users_lifewatch_by_group_kpi_2023-11-07,353578ac-a038-4762-bd98-7b75302b6d20
se,nrm,3-users_lifewatch_by_group_kpi_2023-11-07,cf3425e1-4c6a-4eee-a1c6-c716339d90fd
be,ugent,3-users_lifewatch_by_group_kpi_2023-11-07,1b797bc0-6861-41fb-a05a-1aba4f28559d
cat,uab,3-users_lifewatch_by_group_kpi_2023-11-07,e9ec24b1-f78f-482e-884d-d513b57cf5df
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,21115f93-5372-4e56-bad4-afbda548ee54
nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07,784dd6cd-f842-441c-b6b0-441690345733
be,ulb,3-users_lifewatch_by_group_kpi_2023-11-07,d26f0487-ac83-43fb-a31f-8dc284de4e6b
com_DISABLED,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,b1ea149b-49ac-4856-a95d-9029cd91ec4b
org,calacademy,3-users_lifewatch_by_group_kpi_2023-11-07,b7e0c994-88ca-43bc-bfe8-431bddced3be
edu,hawaii,3-users_lifewatch_by_group_kpi_2023-11-07,22c041c4-c983-4a41-8b99-51063eead982
edu,nova,3-users_lifewatch_by_group_kpi_2023-11-07,7a606a42-f35e-4cce-b5ac-74f89afe0fe5
be,vlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,c1e75b53-500e-4d5c-a802-3fb6af89ad44
edu,si,3-users_lifewatch_by_group_kpi_2023-11-07,b2859ee9-34d8-4339-b8ca-cb9445c913a8
it,uniss,3-users_lifewatch_by_group_kpi_2023-11-07,e0937e8f-24f5-4b2d-a638-d9a2a110072e
com,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,d923075d-7435-48f1-95c4-c651f2b6de68
uk,cscardiffac,3-users_lifewatch_by_group_kpi_2023-11-07,5fee6f52-3b77-42ec-8b9e-0f8fc2298041
edu,usm,3-users_lifewatch_by_group_kpi_2023-11-07,c3e489f1-26a0-42f4-a456-157654a26179
edu,flmnhufl,3-users_lifewatch_by_group_kpi_2023-11-07,d38ac57b-261b-493f-8874-185d2708010d
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,3261e498-a66c-4447-9f76-61e0fb581dd0
edu,edenrutgers,3-users_lifewatch_by_group_kpi_2023-11-07,04c5dd8f-1a9c-443b-93ac-669a83d8ab2c
com,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,447ee882-2130-48d8-ad14-649c6c0103bf
com,nmni,3-users_lifewatch_by_group_kpi_2023-11-07,5a1fa72a-af37-4b66-bc5d-910e24a9ed56
edu,ohio,3-users_lifewatch_by_group_kpi_2023-11-07,106a9e91-85e1-4399-bd1c-fd882a9cd063
au,qmqldgov,3-users_lifewatch_by_group_kpi_2023-11-07,e644a7fc-8322-4cc1-bb7f-dc358700b7cc
edu,maine,3-users_lifewatch_by_group_kpi_2023-11-07,8296aba1-d6d5-401f-8462-02d2d7ca3908
pl,biolunilodz,3-users_lifewatch_by_group_kpi_2023-11-07,ce52f11f-b9bb-40a7-8447-54fdd37601f4
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,eaff54b5-f4fd-4560-ad61-1cb9454e3942
edu,ucla,3-users_lifewatch_by_group_kpi_2023-11-07,85111de4-5299-4330-8f1e-b9cc8fdae51a
au,samuseumsagov,3-users_lifewatch_by_group_kpi_2023-11-07,a1d04ec8-f99b-4181-b070-c4bf598fd50f
fr,wanadoo,3-users_lifewatch_by_group_kpi_2023-11-07,ae3c3b1c-3c75-48f4-9890-d9c844d8ab59
de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07,8b97530d-a760-4b3a-836e-c3d505f6e66d
pl,iopangda,3-users_lifewatch_by_group_kpi_2023-11-07,125f55fe-8a78-483a-8402-2b9f37e72f11
edu,uchicago,3-users_lifewatch_by_group_kpi_2023-11-07,971f2a0b-1121-4fcc-b276-311032ed89ff
de,zibiologieuni-muenchen,3-users_lifewatch_by_group_kpi_2023-11-07,b470d6b8-a0df-4e2e-987a-c9bda16e3e61
de,zsmmwn,3-users_lifewatch_by_group_kpi_2023-11-07,b2f92cf2-2ba2-4b7f-bfa2-7cf81ac80038
at,univieac,3-users_lifewatch_by_group_kpi_2023-11-07,416cdd7b-ca7b-45c2-b677-4d0b37faf5d3
fr,libertysurf,3-users_lifewatch_by_group_kpi_2023-11-07,6e35edc6-c599-4e0d-9230-b1b9bea933c8
edu,uaf,3-users_lifewatch_by_group_kpi_2023-11-07,09aebd20-bced-42d8-8360-0546c12533be
be,naturalsciences,3-users_lifewatch_by_group_kpi_2023-11-07,7f20efd3-2efa-4a46-a0a7-bdca89e13735
com,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,a4ed76c1-0ed3-4b7a-bb8e-8d4229128723
org_DISABLED,cgiar,3-users_lifewatch_by_group_kpi_2023-11-07,09fdb12b-7d49-4a81-aa8c-b3f54f731a29
au,uqedu,3-users_lifewatch_by_group_kpi_2023-11-07,17216507-e341-460a-965e-d1c94032efb6
