source,raw_institute,user_identifier,stand_institute,Unnamed: 0.1,Unnamed: 0,country_alpha2,country_alpha3,country_official_name,country_url,flemish,group,qh,MarineInfo_ID,ROR_ID,local_ID
4-datarequest_users_2023_11_07,"Museum of the Sea - Gallipoli , Apulia",4-datarequest_users_2023_11_07_7aca76e1-40b6-4330-beb7-b8f658a3172c,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Instituto español de oceanografíia . CC Gijón,4-datarequest_users_2023_11_07_6e30005f-6fea-47be-b0be-ee71587032c2,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,vlakwa,4-datarequest_users_2023_11_07_554433b0-b0eb-413f-aebf-e80ea4e83cdd,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Station biologique de Roscoff,4-datarequest_users_2023_11_07_b6985ad8-1b4d-4659-ac4f-d2e4583c4e63,Station Biologique de Roscoff,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Universidade de Aveiro,4-datarequest_users_2023_11_07_f93dc441-e315-4b92-b559-611fa093ae5d,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Universidad de Concepción,4-datarequest_users_2023_11_07_36d43ea7-90ba-40aa-9150-cf58824bd327,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,defensie,4-datarequest_users_2023_11_07_a2bc2c26-23e8-4023-9608-d454c03a435d,Defensie,162.0,162.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,o,Defence,Policy,https://marineinfo.org/id/institute/14103,-,cbeba779-9b5b-4926-ad96-bb35d31aa02d
4-datarequest_users_2023_11_07,sirris,4-datarequest_users_2023_11_07_f9923472-aca7-48b6-8d3a-77968b40a641,Sirris,252.0,252.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,o,Non-profit organization,Civil society,https://marineinfo.org/id/institute/8503,https://ror.org/01qr26m26,a4a98e2a-b712-4d2c-832f-43609018a476
4-datarequest_users_2023_11_07,ilvo,4-datarequest_users_2023_11_07_80eb2122-211f-41bc-940d-8a2a1a57c9bd,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",213.0,213.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/5442,https://ror.org/05cjt1n05,3e28e922-018d-448f-8740-d242c100d81e
4-datarequest_users_2023_11_07,student,4-datarequest_users_2023_11_07_68d9168e-6755-4590-a3cb-746424db1235,,,,,,,,,,,,,
